Epoch,Total epochs,Iter,CircleDetection Loss
0,50,0,0.33324524760246277
0,50,1,16.156278610229492
0,50,2,1.5102767944335938
0,50,3,1.004280924797058
0,50,4,0.22910192608833313
0,50,5,0.5497338175773621
0,50,6,0.6622471809387207
0,50,7,0.28153106570243835
0,50,8,0.22413498163223267
0,50,9,0.15738710761070251
0,50,10,0.20021028816699982
0,50,11,0.27723315358161926
0,50,12,0.17620402574539185
0,50,13,0.14780819416046143
0,50,14,0.10283353179693222
0,50,15,0.17318351566791534
0,50,16,0.1335953027009964
0,50,17,0.10799754410982132
0,50,18,0.1195603460073471
0,50,19,0.09577348083257675
0,50,20,0.12170321494340897
0,50,21,0.08100920915603638
0,50,22,0.09194138646125793
0,50,23,0.09290744364261627
0,50,24,0.07485730201005936
0,50,25,0.10821301490068436
0,50,26,0.08464319258928299
0,50,27,0.08010902255773544
0,50,28,0.08215591311454773
0,50,29,0.0993211641907692
0,50,30,0.08837123960256577
0,50,31,0.0874464362859726
0,50,32,0.09864141792058945
0,50,33,0.05428927391767502
1,50,0,0.060153234750032425
1,50,1,0.05551683157682419
1,50,2,0.05903764069080353
1,50,3,0.0732802301645279
1,50,4,0.061244893819093704
1,50,5,0.05654028058052063
1,50,6,0.06190633401274681
1,50,7,0.06637627631425858
1,50,8,0.05972648784518242
1,50,9,0.060387127101421356
1,50,10,0.06632444262504578
1,50,11,0.0605732798576355
1,50,12,0.0628063827753067
1,50,13,0.07337847352027893
1,50,14,0.054919011890888214
1,50,15,0.05362142622470856
1,50,16,0.06263066828250885
1,50,17,0.0618564747273922
1,50,18,0.048259321600198746
1,50,19,0.0556899830698967
1,50,20,0.07416640222072601
1,50,21,0.06327999383211136
1,50,22,0.06432536989450455
1,50,23,0.04721509665250778
1,50,24,0.06575243920087814
1,50,25,0.05401096120476723
1,50,26,0.05449113994836807
1,50,27,0.07532936334609985
1,50,28,0.072712242603302
1,50,29,0.0492769330739975
1,50,30,0.06294163316488266
1,50,31,0.05250009149312973
1,50,32,0.050390180200338364
1,50,33,0.06368421018123627
2,50,0,0.036868538707494736
2,50,1,0.021942973136901855
2,50,2,0.02732035145163536
2,50,3,0.025488290935754776
2,50,4,0.020138900727033615
2,50,5,0.03411800414323807
2,50,6,0.020699333399534225
2,50,7,0.02510218322277069
2,50,8,0.0294281467795372
2,50,9,0.024923354387283325
2,50,10,0.021316595375537872
2,50,11,0.024126071482896805
2,50,12,0.02866515889763832
2,50,13,0.02245447412133217
2,50,14,0.026839349418878555
2,50,15,0.019755659624934196
2,50,16,0.027276229113340378
2,50,17,0.027042701840400696
2,50,18,0.02104555070400238
2,50,19,0.01921152137219906
2,50,20,0.01923111081123352
2,50,21,0.020032532513141632
2,50,22,0.019235610961914062
2,50,23,0.02331077679991722
2,50,24,0.023228004574775696
2,50,25,0.023562055081129074
2,50,26,0.023247573524713516
2,50,27,0.02323051355779171
2,50,28,0.01877656951546669
2,50,29,0.023274047300219536
2,50,30,0.02008472941815853
2,50,31,0.019418001174926758
2,50,32,0.02524399943649769
2,50,33,0.023212019354104996
3,50,0,0.016735665500164032
3,50,1,0.021230172365903854
3,50,2,0.014831097796559334
3,50,3,0.012504945509135723
3,50,4,0.013473330065608025
3,50,5,0.01444290578365326
3,50,6,0.01624929904937744
3,50,7,0.013416483998298645
3,50,8,0.010420478880405426
3,50,9,0.01637469418346882
3,50,10,0.009624946862459183
3,50,11,0.015706224367022514
3,50,12,0.012606203556060791
3,50,13,0.009096966125071049
3,50,14,0.013878284022212029
3,50,15,0.010694971308112144
3,50,16,0.014002525247633457
3,50,17,0.009952396154403687
3,50,18,0.011851225979626179
3,50,19,0.011123406700789928
3,50,20,0.010121672414243221
3,50,21,0.012767013162374496
3,50,22,0.00817237887531519
3,50,23,0.011396878398954868
3,50,24,0.009642060846090317
3,50,25,0.017834991216659546
