Epoch,Total epochs,Iter,CircleDetection Loss
0,11,0,0.24993662536144257
0,11,1,50.739498138427734
0,11,2,0.5767418742179871
0,11,3,0.9669731259346008
0,11,4,0.594426155090332
0,11,5,0.15474238991737366
0,11,6,0.12895260751247406
0,11,7,0.3914244771003723
0,11,8,0.4203188419342041
0,11,9,0.3130335509777069
0,11,10,0.2517300844192505
0,11,11,0.1305566132068634
0,11,12,0.09765373170375824
0,11,13,0.12778036296367645
0,11,14,0.26624494791030884
0,11,15,0.24473729729652405
0,11,16,0.18905861675739288
0,11,17,0.1420302540063858
0,11,18,0.09003668278455734
0,11,19,0.10541617125272751
0,11,20,0.11369992047548294
0,11,21,0.14103944599628448
0,11,22,0.1519889533519745
0,11,23,0.13185355067253113
0,11,24,0.09858253598213196
0,11,25,0.07780266553163528
0,11,26,0.10205209255218506
0,11,27,0.09139227867126465
0,11,28,0.14674197137355804
0,11,29,0.11491720378398895
0,11,30,0.11844083666801453
0,11,31,0.08325784653425217
0,11,32,0.08111943304538727
0,11,33,0.08599767088890076
1,11,0,0.06296487152576447
1,11,1,0.05686438828706741
1,11,2,0.053660109639167786
1,11,3,0.04701819643378258
1,11,4,0.07385385781526566
1,11,5,0.05718367546796799
1,11,6,0.05263297259807587
1,11,7,0.07879137992858887
1,11,8,0.05978264659643173
1,11,9,0.04932420700788498
1,11,10,0.05453016608953476
1,11,11,0.07822885364294052
1,11,12,0.05875511094927788
1,11,13,0.04751176759600639
1,11,14,0.03956582769751549
1,11,15,0.06003701314330101
1,11,16,0.05142035335302353
1,11,17,0.055189136415719986
1,11,18,0.054518528282642365
1,11,19,0.046085864305496216
1,11,20,0.0579797588288784
1,11,21,0.0457056425511837
1,11,22,0.043501950800418854
1,11,23,0.047691524028778076
1,11,24,0.06307818740606308
1,11,25,0.04643818736076355
1,11,26,0.0651232898235321
1,11,27,0.052584514021873474
1,11,28,0.06013032793998718
1,11,29,0.05847441405057907
1,11,30,0.058229222893714905
1,11,31,0.05665446072816849
1,11,32,0.05242205411195755
1,11,33,0.06971043348312378
2,11,0,0.04177723079919815
2,11,1,0.054052650928497314
2,11,2,0.035231128334999084
2,11,3,0.039230331778526306
2,11,4,0.02919538877904415
2,11,5,0.03831704333424568
2,11,6,0.031065069139003754
2,11,7,0.079918771982193
2,11,8,0.039567772299051285
2,11,9,0.0309351347386837
2,11,10,0.03962907940149307
2,11,11,0.027942944318056107
2,11,12,0.03291953355073929
2,11,13,0.03783367946743965
2,11,14,0.03185354918241501
2,11,15,0.024575870484113693
2,11,16,0.04022892192006111
2,11,17,0.03322591632604599
2,11,18,0.03495464473962784
2,11,19,0.03261599689722061
2,11,20,0.03408391401171684
2,11,21,0.030237648636102676
2,11,22,0.02593548223376274
2,11,23,0.032522812485694885
2,11,24,0.04010837525129318
2,11,25,0.03471994027495384
2,11,26,0.03579077124595642
2,11,27,0.03660356625914574
2,11,28,0.03816533833742142
2,11,29,0.03905940800905228
2,11,30,0.03444312512874603
2,11,31,0.032923318445682526
2,11,32,0.02833200991153717
2,11,33,0.046989597380161285
3,11,0,0.02841663733124733
3,11,1,0.026397719979286194
3,11,2,0.02876267209649086
3,11,3,0.029735084623098373
3,11,4,0.02681650221347809
3,11,5,0.025244027376174927
3,11,6,0.02541063167154789
3,11,7,0.023629911243915558
3,11,8,0.023882906883955002
3,11,9,0.021974138915538788
3,11,10,0.0261525996029377
3,11,11,0.03799083083868027
3,11,12,0.025477470830082893
3,11,13,0.02074452117085457
3,11,14,0.029099978506565094
3,11,15,0.03723631054162979
3,11,16,0.02996925637125969
3,11,17,0.03969566151499748
3,11,18,0.029097363352775574
3,11,19,0.03912070393562317
3,11,20,0.02243822067975998
3,11,21,0.023611389100551605
3,11,22,0.026086580008268356
3,11,23,0.02627049759030342
3,11,24,0.024963855743408203
3,11,25,0.023695386946201324
3,11,26,0.02539578266441822
3,11,27,0.02194700390100479
3,11,28,0.02326318807899952
3,11,29,0.030248332768678665
3,11,30,0.028863105922937393
3,11,31,0.02365279197692871
3,11,32,0.03431708365678787
3,11,33,0.03651133552193642
4,11,0,0.019655227661132812
4,11,1,0.019878972321748734
4,11,2,0.017633620649576187
4,11,3,0.021337702870368958
4,11,4,0.015441164374351501
4,11,5,0.018931996077299118
4,11,6,0.02049517072737217
4,11,7,0.020193196833133698
4,11,8,0.014430567622184753
4,11,9,0.022780751809477806
4,11,10,0.0294899083673954
4,11,11,0.016765009611845016
4,11,12,0.0235928762704134
4,11,13,0.022456804290413857
4,11,14,0.01855500228703022
4,11,15,0.015621041879057884
4,11,16,0.02200509048998356
4,11,17,0.015488961711525917
4,11,18,0.015725523233413696
4,11,19,0.01759684830904007
4,11,20,0.034376103430986404
4,11,21,0.03444702550768852
4,11,22,0.019398584961891174
4,11,23,0.0256647951900959
4,11,24,0.022008750587701797
4,11,25,0.029499579221010208
4,11,26,0.017156392335891724
4,11,27,0.03636116534471512
4,11,28,0.033039409667253494
4,11,29,0.020260198041796684
4,11,30,0.054828330874443054
4,11,31,0.018978584557771683
4,11,32,0.04265594482421875
4,11,33,0.018934138119220734
5,11,0,0.016605127602815628
5,11,1,0.018573183566331863
5,11,2,0.013795798644423485
5,11,3,0.03031843900680542
5,11,4,0.016040993854403496
5,11,5,0.04499638453125954
5,11,6,0.020704366266727448
5,11,7,0.034391138702631
5,11,8,0.027566030621528625
5,11,9,0.027418214827775955
5,11,10,0.029111448675394058
5,11,11,0.019600968807935715
5,11,12,0.03193899244070053
5,11,13,0.017250051721930504
5,11,14,0.01960928365588188
5,11,15,0.021574903279542923
5,11,16,0.024913493543863297
5,11,17,0.02163882926106453
5,11,18,0.028899382799863815
5,11,19,0.02466292679309845
5,11,20,0.05797646939754486
5,11,21,0.032417792826890945
5,11,22,0.06096913665533066
5,11,23,0.03732767701148987
5,11,24,0.03608015179634094
5,11,25,0.022532891482114792
5,11,26,0.03765305131673813
5,11,27,0.02795591950416565
5,11,28,0.04551669955253601
5,11,29,0.024818718433380127
5,11,30,0.03954210877418518
5,11,31,0.034875672310590744
5,11,32,0.019764848053455353
5,11,33,0.0242086760699749
6,11,0,0.023880966007709503
6,11,1,0.01788100227713585
6,11,2,0.030336961150169373
6,11,3,0.016914159059524536
6,11,4,0.047426268458366394
6,11,5,0.02021680772304535
6,11,6,0.029669426381587982
6,11,7,0.017366226762533188
6,11,8,0.03842870146036148
6,11,9,0.022474825382232666
6,11,10,0.041898101568222046
6,11,11,0.03151659294962883
6,11,12,0.02353792078793049
6,11,13,0.01924535259604454
6,11,14,0.03374851495027542
6,11,15,0.026227392256259918
6,11,16,0.024241261184215546
6,11,17,0.032158657908439636
6,11,18,0.020679542794823647
6,11,19,0.021775156259536743
6,11,20,0.021006755530834198
6,11,21,0.03768756240606308
6,11,22,0.032912760972976685
6,11,23,0.023963384330272675
6,11,24,0.05442069470882416
6,11,25,0.028313323855400085
6,11,26,0.04235102981328964
6,11,27,0.04251541197299957
6,11,28,0.08692951500415802
6,11,29,0.03797610104084015
6,11,30,0.04912814125418663
6,11,31,0.050183750689029694
6,11,32,0.0357290655374527
6,11,33,0.04621930420398712
7,11,0,0.022685052827000618
7,11,1,0.0583430714905262
7,11,2,0.02021702006459236
7,11,3,0.0715394914150238
7,11,4,0.03150492161512375
7,11,5,0.0883316919207573
7,11,6,0.04456087946891785
7,11,7,0.11425338685512543
7,11,8,0.038747914135456085
7,11,9,0.11179754883050919
7,11,10,0.06219958886504173
7,11,11,0.08179688453674316
7,11,12,0.080948106944561
7,11,13,0.04683354124426842
7,11,14,0.05833464860916138
7,11,15,0.02602454647421837
7,11,16,0.05438516288995743
7,11,17,0.03554578125476837
7,11,18,0.07741089165210724
7,11,19,0.05746611952781677
7,11,20,0.05246546491980553
7,11,21,0.05422879010438919
7,11,22,0.04620799422264099
7,11,23,0.035013508051633835
7,11,24,0.02916090376675129
7,11,25,0.06626047194004059
7,11,26,0.025092653930187225
7,11,27,0.03414323180913925
7,11,28,0.03814654052257538
7,11,29,0.03135044127702713
7,11,30,0.024404115974903107
7,11,31,0.027944624423980713
7,11,32,0.026745470240712166
7,11,33,0.02773970365524292
8,11,0,0.045441389083862305
8,11,1,0.042120128870010376
8,11,2,0.0317172035574913
8,11,3,0.03988242149353027
8,11,4,0.04737890511751175
8,11,5,0.043719347566366196
8,11,6,0.06290487200021744
8,11,7,0.041491251438856125
8,11,8,0.07397790998220444
8,11,9,0.07770680636167526
8,11,10,0.07938266545534134
8,11,11,0.10457328706979752
8,11,12,0.06721260398626328
8,11,13,0.1028975248336792
8,11,14,0.04296832159161568
8,11,15,0.13276728987693787
8,11,16,0.03550291433930397
8,11,17,0.08680082857608795
8,11,18,0.024953272193670273
8,11,19,0.058871664106845856
8,11,20,0.07797464728355408
8,11,21,0.0553944855928421
8,11,22,0.06780944019556046
8,11,23,0.036101263016462326
8,11,24,0.07862384617328644
8,11,25,0.03964080661535263
8,11,26,0.08261898159980774
8,11,27,0.03421074151992798
8,11,28,0.08281022310256958
8,11,29,0.04757903516292572
8,11,30,0.06959868967533112
8,11,31,0.06074466556310654
8,11,32,0.066484734416008
8,11,33,0.09195748716592789
9,11,0,0.06119128316640854
9,11,1,0.058124758303165436
9,11,2,0.03882896155118942
9,11,3,0.08234603703022003
9,11,4,0.03321042284369469
9,11,5,0.08532758057117462
9,11,6,0.033951640129089355
9,11,7,0.042908139526844025
9,11,8,0.048972487449645996
9,11,9,0.07613880932331085
9,11,10,0.04980923980474472
9,11,11,0.04790875315666199
9,11,12,0.06546925008296967
9,11,13,0.050280775874853134
9,11,14,0.059635862708091736
9,11,15,0.04199335351586342
9,11,16,0.07416153699159622
9,11,17,0.055672045797109604
9,11,18,0.039233509451150894
9,11,19,0.13032284379005432
9,11,20,0.06899676471948624
9,11,21,0.12772512435913086
9,11,22,0.04828523099422455
9,11,23,0.15865850448608398
9,11,24,0.0694124847650528
9,11,25,0.10720891505479813
9,11,26,0.07424523681402206
9,11,27,0.04576040059328079
9,11,28,0.10681534558534622
9,11,29,0.030274128541350365
9,11,30,0.09134972840547562
9,11,31,0.05824983865022659
9,11,32,0.05201384425163269
9,11,33,0.08549672365188599
10,11,0,0.07158005982637405
10,11,1,0.05471458286046982
10,11,2,0.04098837822675705
10,11,3,0.07092230021953583
10,11,4,0.05240918695926666
10,11,5,0.10932065546512604
10,11,6,0.07098642736673355
10,11,7,0.11196208745241165
10,11,8,0.09887854754924774
10,11,9,0.0467735156416893
10,11,10,0.11317804455757141
10,11,11,0.04613364487886429
10,11,12,0.11599604040384293
10,11,13,0.10980990529060364
10,11,14,0.08556190878152847
10,11,15,0.11108016967773438
10,11,16,0.04255525767803192
10,11,17,0.13864459097385406
10,11,18,0.055491965264081955
10,11,19,0.12152734398841858
10,11,20,0.059582289308309555
10,11,21,0.07274556159973145
10,11,22,0.08658618479967117
10,11,23,0.08207503706216812
10,11,24,0.05578133836388588
10,11,25,0.03789433091878891
10,11,26,0.037370096892118454
10,11,27,0.04726007208228111
10,11,28,0.031295787543058395
10,11,29,0.03512629121541977
10,11,30,0.05145237594842911
10,11,31,0.04522640258073807
10,11,32,0.04210752248764038
10,11,33,0.03606335446238518
